name,distance,mass,radius
OGLE-2017-BLG-0406L b,16962,0.41 jupiters,2020
WASP-132 b,391,0.41 jupiters,2016
HD 1397 b,260,0.415 jupiters,2018
Kepler-1222 b,1484,0.418 earths,2016
Kepler-1235 b,1739,0.418 earths,2016
Kepler-1566 b,1667,0.418 earths,2016
Kepler-390 c,1438,0.418 earths,2014
HD 133131 A c,153,0.42 jupiters,2016
HD 2638 b,180,0.42 jupiters,2005
Kepler-289 c,2283,0.42 jupiters,2014
WASP-168 b,1000,0.42 jupiters,2018
WASP-88 b,1734,0.42 jupiters,2014
K2-60 b,1627,0.426 jupiters,2016
HIP 65407 b,181,0.428 jupiters,2016
Kepler-422 b,2408,0.43 jupiters,2014
Kepler-77 b,1859,0.43 jupiters,2013
OGLE-2016-BLG-1067L b,12167,0.43 jupiters,2019
WASP-67 b,621,0.43 jupiters,2012
Kepler-12 b,2950,0.432 jupiters,2011
HD 45652 b,114,0.433 jupiters,2008
OGLE-2015-BLG-1771L b,23062,0.433 jupiters,2020
Kepler-1067 b,2248,0.437 earths,2016
Kepler-1076 b,649,0.437 earths,2016
Kepler-1130 b,763,0.437 earths,2016
Kepler-1365 c,1765,0.437 earths,2016
Kepler-1393 b,1507,0.437 earths,2016
Kepler-1395 b,1654,0.437 earths,2016
Kepler-1581 b,1445,0.437 earths,2016
DMPP-2 b,437,0.437 jupiters,2019
KOI-55 b,3849,0.44 earths,2011
HD 99109 b,179,0.44 jupiters,2005
WASP-144 b,1170,0.44 jupiters,2018
WASP-25 b,694,0.44 jupiters,2010
Kepler-7 b,3091,0.441 jupiters,2009
HD 164509 b,174,0.443 jupiters,2010
HD 86226 b,149,0.45 jupiters,2009
WASP-56 b,1057,0.45 jupiters,2012
HD 141399 b,118,0.451 jupiters,2014
Kepler-1611 b,2238,0.457 earths,2016
Kepler-220 b,561,0.457 earths,2014
Kepler-388 b,1994,0.457 earths,2014
