name,distance,mass,radius
HR 810 b,57,2.27 jupiters,1999
GJ 876 b,15,2.2756 jupiters,1998
K2-185 b,882,2.28 earths,2018
HD 145934 b,748,2.28 jupiters,2015
WASP-77 A b,344,2.29 jupiters,2012
K2-35 c,830,2.3 earths,2016
Kepler-1156 b,2476,2.3 earths,2016
Kepler-1179 b,1481,2.3 earths,2016
Kepler-1193 b,2267,2.3 earths,2016
Kepler-1506 b,4299,2.3 earths,2016
Kepler-1514 c,1236,2.3 earths,2020
Kepler-157 b,2581,2.3 earths,2014
Kepler-217 d,3722,2.3 earths,2016
Kepler-255 d,3538,2.3 earths,2016
Kepler-292 b,3547,2.3 earths,2014
Kepler-299 b,3539,2.3 earths,2014
Kepler-382 b,3134,2.3 earths,2014
Kepler-383 b,1533,2.3 earths,2014
Kepler-395 c,1391,2.3 earths,2014
Kepler-603 d,3154,2.3 earths,2016
Kepler-617 b,489,2.3 earths,2016
Kepler-90 i,2544,2.3 earths,2017
GJ 328 b,67,2.3 jupiters,2013
HAT-P-11 c,123,2.3 jupiters,2018
HD 147873 c,357,2.3 jupiters,2016
HD 47366 b,276,2.3 jupiters,2016
HD 62509 b,34,2.3 jupiters,2006
NN Serpentis d,1631,2.3 jupiters,2010
NY Virginis b,1801,2.3 jupiters,2011
WASP-192 b,1615,2.3 jupiters,2019
WASP-72 b,1436,2.3 jupiters,2012
EPIC 212297394 b,1381,2.31 earths,2019
GJ 3323 c,17,2.31 earths,2017
L 98-59 d,35,2.31 earths,2019
HAT-P-56 b,1055,2.31 jupiters,2015
POTS-1 b,3914,2.31 jupiters,2013
Kepler-1671 b,1177,2.32 earths,2020
K2-148 b,395,2.33 earths,2018
K2-316 b,368,2.33 earths,2020
Kepler-1028 b,2065,2.33 earths,2016
Kepler-1185 b,966,2.33 earths,2016
Kepler-1190 b,1253,2.33 earths,2016
Kepler-1224 b,1885,2.33 earths,2016
Kepler-1253 b,1272,2.33 earths,2016
Kepler-144 b,1270,2.33 earths,2014
Kepler-1498 b,2414,2.33 earths,2016
Kepler-1508 b,2910,2.33 earths,2016
Kepler-1587 b,2959,2.33 earths,2016
Kepler-220 e,561,2.33 earths,2014
Kepler-251 b,3096,2.33 earths,2014
Kepler-286 d,4132,2.33 earths,2014
Kepler-348 c,1893,2.33 earths,2014
Kepler-393 c,2950,2.33 earths,2014
Kepler-707 b,2042,2.33 earths,2016
Kepler-931 b,1598,2.33 earths,2016
CoRoT-11 b,1827,2.33 jupiters,2010
HD 82886 b,416,2.33 jupiters,2011
HD 98736 b,106,2.33 jupiters,2018
WASP-66 b,1654,2.35 jupiters,2012
K2-133 b,245,2.36 earths,2017
Kepler-1107 b,1491,2.36 earths,2016
Kepler-1319 b,372,2.36 earths,2016
Kepler-1602 b,2659,2.36 earths,2016
Kepler-191 b,1973,2.36 earths,2014
Kepler-285 b,2754,2.36 earths,2014
Kepler-442 b,1116,2.36 earths,2015
Kepler-203 c,2341,2.36 jupiters,2014
WASP-36 b,1274,2.361 jupiters,2011
HD 4732 b,179,2.37 jupiters,2012
HD 4732 c,179,2.37 jupiters,2012
K2-219 b,1071,2.38 earths,2018
NGTS-3 A b,3295,2.38 jupiters,2018
K2-188 b,1477,2.39 earths,2018
Kepler-1114 b,1393,2.39 earths,2016
Kepler-1244 b,2492,2.39 earths,2016
Kepler-1265 b,1895,2.39 earths,2016
Kepler-144 c,1270,2.39 earths,2014
Kepler-1532 b,2688,2.39 earths,2016
Kepler-1631 b,3882,2.39 earths,2016
Kepler-301 b,2395,2.39 earths,2014
Kepler-301 c,2395,2.39 earths,2014
Kepler-330 b,2389,2.39 earths,2014
Kepler-446 d,391,2.39 earths,2015
Kepler-935 b,1572,2.39 earths,2016
HATS-12 b,1671,2.39 jupiters,2016
HD 212771 b,364,2.39 jupiters,2009
HD 20794 c,20,2.4 earths,2011
Kepler-65 b,999,2.4 earths,2012
HD 29021 b,101,2.4 jupiters,2017
HIP 74890 b,298,2.4 jupiters,2016
Kepler-539 c,1011,2.4 jupiters,2016
Mu Leonis b,106,2.4 jupiters,2014
K2-190 b,527,2.41 earths,2018
HD 108863 b,540,2.414 jupiters,2011
Kepler-1246 b,1419,2.42 earths,2016
Kepler-1459 b,1419,2.42 earths,2016
Kepler-1680 b,1021,2.42 earths,2020
Kepler-262 b,2036,2.42 earths,2014
Kepler-295 d,5830,2.42 earths,2014
Kepler-372 b,5093,2.42 earths,2014
Kepler-373 b,3672,2.42 earths,2014
Kepler-757 b,3314,2.42 earths,2016
Kepler-997 b,1533,2.42 earths,2016
L 98-59 c,35,2.42 earths,2019
K2-200 b,604,2.43 earths,2018
CoRoT-17 b,3001,2.43 jupiters,2011
HD 12661 b,124,2.43 jupiters,2000
HD 290327 b,184,2.43 jupiters,2009
Kepler-432 c,2838,2.43 jupiters,2015
WASP-3 b,759,2.43 jupiters,2007
WASP-99 b,520,2.43 jupiters,2014
WASP-140 b,587,2.44 jupiters,2016
K2-203 b,545,2.45 earths,2018
Kepler-1300 b,2469,2.45 earths,2016
Kepler-1332 b,1680,2.45 earths,2016
Kepler-1437 b,3856,2.45 earths,2016
Kepler-240 b,2488,2.45 earths,2014
Kepler-286 c,4132,2.45 earths,2014
Kepler-320 c,2762,2.45 earths,2014
Kepler-793 b,2590,2.45 earths,2016
Kepler-901 b,786,2.45 earths,2016
Kepler-932 b,1559,2.45 earths,2016
HD 154857 b,207,2.45 jupiters,2004
Kepler-17 b,2610,2.45 jupiters,2011
K2-211 b,895,2.46 earths,2018
GJ 3998 b,59,2.47 earths,2016
HAT-P-22 b,267,2.47 jupiters,2010
K2-147 b,287,2.48 earths,2018
K2-270 b,925,2.48 earths,2018
Kepler-1120 b,2071,2.48 earths,2016
Kepler-1315 b,1647,2.48 earths,2016
Kepler-353 c,1269,2.48 earths,2014
Kepler-402 d,2077,2.48 earths,2014
Kepler-629 b,1249,2.48 earths,2016
Kepler-84 d,4708,2.48 earths,2014
Kepler-914 b,2212,2.48 earths,2016
Kepler-923 b,3151,2.48 earths,2016
K2-229 b,339,2.49 earths,2018
K2-229 b,339,2.49 earths,2018
WASP-161 b,1130,2.49 jupiters,2018
Qatar-2 b,595,2.494 jupiters,2011
GJ 317 b,49,2.5 jupiters,2007
HD 133131 B b,153,2.5 jupiters,2016
HD 97048 b,603,2.5 jupiters,2019
Kepler-419 b,3397,2.5 jupiters,2014
PSR B1620-26 b,,2.5 jupiters,2003
TYC 1422-614-1 b,2476,2.5 jupiters,2014
Kepler-1216 b,3666,2.51 earths,2016
Kepler-1394 b,2675,2.51 earths,2016
Kepler-208 c,2587,2.51 earths,2014
Kepler-224 b,2609,2.51 earths,2014
Kepler-377 b,2752,2.51 earths,2014
Kepler-386 b,2951,2.51 earths,2014
HD 60532 c,85,2.51 jupiters,2008
TOI-150.01,1096,2.51 jupiters,2019
Kepler-716 c,2202,2.52 earths,2020
47 Ursae Majoris b,45,2.53 jupiters,1996
K2-201 b,649,2.54 earths,2018
Kepler-1145 b,2329,2.54 earths,2016
Kepler-1229 b,770,2.54 earths,2016
Kepler-127 b,1163,2.54 earths,2014
Kepler-1301 b,2662,2.54 earths,2016
Kepler-186 d,561,2.54 earths,2014
Kepler-329 b,1452,2.54 earths,2014
Kepler-770 d,2482,2.54 earths,2016
HD 181342 b,394,2.54 jupiters,2009
HD 41004 A b,140,2.54 jupiters,2004
OGLE-2015-BLG-1649L b,13798,2.54 jupiters,2019
WASP-8 b,294,2.54 jupiters,2010
HD 43691 b,280,2.55 jupiters,2007
K2-268 b,1081,2.57 earths,2018
Kepler-1205 b,2499,2.57 earths,2016
Kepler-1383 b,3135,2.57 earths,2016
Kepler-141 c,991,2.57 earths,2014
Kepler-1471 b,3454,2.57 earths,2016
Kepler-1493 b,1866,2.57 earths,2016
Kepler-1604 b,1833,2.57 earths,2016
Kepler-164 b,2982,2.57 earths,2014
Kepler-187 b,3852,2.57 earths,2014
Kepler-237 b,2187,2.57 earths,2014
Kepler-334 d,1409,2.57 earths,2014
Kepler-369 c,849,2.57 earths,2014
Kepler-537 b,1517,2.57 earths,2016
Kepler-905 b,1700,2.57 earths,2016
DMPP-3 A b,160,2.58 earths,2019
HD 154857 c,207,2.58 jupiters,2014
HD 196885 A b,112,2.58 jupiters,2007
K2-128 b,375,2.6 earths,2017
K2-170 b,1296,2.6 earths,2018
Kepler-1075 b,864,2.6 earths,2016
Kepler-1088 b,979,2.6 earths,2016
Kepler-1231 b,3092,2.6 earths,2016
Kepler-1274 b,1987,2.6 earths,2016
Kepler-1290 b,4309,2.6 earths,2016
Kepler-1303 b,2952,2.6 earths,2016
Kepler-339 b,2047,2.6 earths,2014
Kepler-403 d,2808,2.6 earths,2016
Kepler-922 b,1820,2.6 earths,2016
HD 155233 b,245,2.6 jupiters,2015
HD 217107 c,65,2.6 jupiters,2005
MOA-2009-BLG-387L b,18561,2.6 jupiters,2010
OGLE-2003-BLG-235L b,18920,2.6 jupiters,2004
K2-198 c,362,2.61 earths,2019
HD 23079 b,109,2.61 jupiters,2001
Kepler-1686 b,2432,2.62 earths,2020
LTT 3780 b,72,2.62 earths,2020
HD 171028 b,365,2.62 jupiters,2007
Kepler-1259 b,2296,2.63 earths,2016
Kepler-1302 b,2371,2.63 earths,2016
Kepler-1366 b,1288,2.63 earths,2016
Kepler-1380 b,3944,2.63 earths,2016
Kepler-176 b,1746,2.63 earths,2014
Kepler-311 c,2598,2.63 earths,2014
Kepler-334 c,1409,2.63 earths,2014
Kepler-399 c,4443,2.63 earths,2014
Kepler-773 b,1722,2.63 earths,2016
Kepler-876 b,2398,2.63 earths,2016
WASP-32 b,907,2.63 jupiters,2010
GJ 1132 c,41,2.64 earths,2018
K2-219 c,1071,2.66 earths,2018
HD 152079 b,287,2.661 jupiters,2009
Kepler-1007 b,1191,2.67 earths,2016
Kepler-1149 b,3337,2.67 earths,2016
Kepler-1218 b,2176,2.67 earths,2016
Kepler-1245 b,2809,2.67 earths,2016
Kepler-1245 c,2809,2.67 earths,2016
Kepler-1310 b,1902,2.67 earths,2016
Kepler-605 b,1859,2.67 earths,2016
HIP 109600 b,191,2.68 jupiters,2016
WASP-61 b,1617,2.68 jupiters,2012
HD 37605 b,153,2.69 jupiters,2004
WASP-141 b,1859,2.69 jupiters,2016
GJ 667 C e,22,2.7 earths,2013
GJ 667 C f,22,2.7 earths,2013
HD 20794 b,20,2.7 earths,2011
K2-136 d,194,2.7 earths,2017
Kepler-1226 b,2541,2.7 earths,2016
Kepler-1335 b,2049,2.7 earths,2016
Kepler-176 e,1746,2.7 earths,2016
Kepler-280 b,2604,2.7 earths,2014
Kepler-359 d,4900,2.7 earths,2014
Kepler-361 b,3118,2.7 earths,2014
Kepler-362 c,3666,2.7 earths,2014
Kepler-375 b,4188,2.7 earths,2014
Kepler-936 b,2241,2.7 earths,2016
HD 173416 b,433,2.7 jupiters,2008
HD 40956 b,382,2.7 jupiters,2017
HD 81688 b,280,2.7 jupiters,2007
Kepler-23 c,2793,2.7 jupiters,2011
OGLE-2013-BLG-1761L b,22508,2.7 jupiters,2018
Kepler-406 c,1200,2.71 earths,2014
HD 150706 b,92,2.71 jupiters,2012
HD 75898 b,255,2.71 jupiters,2007
HD 171238 b,146,2.72 jupiters,2009
Kepler-1019 b,646,2.73 earths,2016
Kepler-1039 b,1057,2.73 earths,2016
Kepler-1091 b,2985,2.73 earths,2016
Kepler-1108 b,2492,2.73 earths,2016
Kepler-1355 b,3141,2.73 earths,2016
Kepler-1439 b,701,2.73 earths,2016
Kepler-1528 b,2988,2.73 earths,2016
Kepler-157 d,2581,2.73 earths,2016
Kepler-168 b,4554,2.73 earths,2014
Kepler-190 c,1432,2.73 earths,2014
Kepler-355 b,4872,2.73 earths,2014
Kepler-366 b,6391,2.73 earths,2014
Kepler-389 c,2726,2.73 earths,2014
Kepler-402 e,2077,2.73 earths,2014
Kepler-515 b,832,2.73 earths,2016
Kepler-808 b,1047,2.73 earths,2016
OGLE-2012-BLG-0406L b,16212,2.73 jupiters,2013
HATS-22 b,678,2.74 jupiters,2017
CoRoT-10 b,1125,2.75 jupiters,2010
HD 1502 b,626,2.75 jupiters,2011
KELT-16 b,1469,2.75 jupiters,2017
K2-80 c,659,2.76 earths,2016
Kepler-1142 b,2274,2.76 earths,2016
Kepler-1198 b,2535,2.76 earths,2016
Kepler-137 b,997,2.76 earths,2014
Kepler-1431 b,4143,2.76 earths,2016
Kepler-1485 b,1794,2.76 earths,2016
Kepler-1564 b,2844,2.76 earths,2016
Kepler-1622 b,3024,2.76 earths,2016
Kepler-292 c,3547,2.76 earths,2014
Kepler-777 b,1249,2.76 earths,2016
Kepler-909 b,1037,2.76 earths,2016
EPIC 220554210 c,1638,2.79 earths,2019
Kepler-1050 c,1810,2.79 earths,2016
Kepler-123 c,3432,2.79 earths,2014
Kepler-1271 b,2887,2.79 earths,2016
Kepler-1275 b,4175,2.79 earths,2016
Kepler-208 e,2587,2.79 earths,2014
Kepler-218 b,2182,2.79 earths,2014
Kepler-760 c,2551,2.79 earths,2016
Kepler-975 b,1318,2.79 earths,2016
HD 118203 b,302,2.79 jupiters,2005
WASP-158 b,1738,2.79 jupiters,2018
K2-3 d,147,2.8 earths,2015
K2-83 c,411,2.8 earths,2016
Kepler-114 c,853,2.8 earths,2013
CoRoT-23 b,1957,2.8 jupiters,2011
MOA-2016-BLG-227L b,21203,2.8 jupiters,2017
OGLE-2018-BLG-1011L c,23160,2.8 jupiters,2019
Xi Aquilae b,184,2.8 jupiters,2007
HD 215152 d,70,2.801 earths,2018
GJ 625 b,21,2.82 earths,2017
Kepler-433 b,6100,2.82 jupiters,2015
K2-151 b,227,2.83 earths,2018
K2-176 b,812,2.83 earths,2018
Kepler-1063 b,1191,2.83 earths,2016
Kepler-1256 b,2812,2.83 earths,2016
Kepler-1492 b,1210,2.83 earths,2016
Kepler-1582 b,365,2.83 earths,2016
Kepler-1614 b,3203,2.83 earths,2016
Kepler-174 c,1269,2.83 earths,2014
Kepler-400 c,2313,2.83 earths,2014
Kepler-898 b,1562,2.83 earths,2016
HD 113337 b,118,2.83 jupiters,2013
Kepler-1005 b,1680,2.86 earths,2016
Kepler-154 e,3066,2.86 earths,2016
Kepler-154 f,3066,2.86 earths,2016
Kepler-180 b,2315,2.86 earths,2014
Kepler-207 c,2930,2.86 earths,2014
Kepler-246 c,2079,2.86 earths,2014
Kepler-273 b,2378,2.86 earths,2014
Kepler-32 e,1066,2.86 earths,2012
Kepler-446 b,391,2.86 earths,2015
Kepler-598 b,2238,2.86 earths,2016
Kepler-915 b,2629,2.86 earths,2016
Kepler-434 b,4045,2.86 jupiters,2015
WASP-73 b,1042,2.86 jupiters,2014
HD 215152 e,70,2.877 earths,2018
HD 169830 b,123,2.88 jupiters,2000
KELT-9 b,671,2.88 jupiters,2017
GJ 273 b,12,2.89 earths,2017
Kepler-1191 b,2858,2.89 earths,2016
Kepler-1194 b,2009,2.89 earths,2016
Kepler-1209 b,1820,2.89 earths,2016
Kepler-1324 b,1703,2.89 earths,2016
Kepler-1491 b,4280,2.89 earths,2016
Kepler-194 b,3697,2.89 earths,2014
Kepler-205 b,523,2.89 earths,2014
Kepler-249 c,624,2.89 earths,2014
Kepler-389 b,2726,2.89 earths,2014
Kepler-828 b,2039,2.89 earths,2016
HD 165155 b,207,2.89 jupiters,2016
K2-213 b,1285,2.9 earths,2018
Kepler-11 c,2148,2.9 earths,2010
Kepler-359 c,4900,2.9 earths,2014
CoRoT-30 b,3132,2.9 jupiters,2020
NGTS-9 b,2022,2.9 jupiters,2019
K2-189 b,796,2.92 earths,2018
K2-192 b,731,2.92 earths,2018
Kepler-1220 b,3125,2.92 earths,2016
Kepler-1257 b,3526,2.92 earths,2016
Kepler-126 b,780,2.92 earths,2014
Kepler-1289 b,3454,2.92 earths,2016
Kepler-1323 b,1729,2.92 earths,2016
Kepler-1483 b,4329,2.92 earths,2016
Kepler-1571 b,2616,2.92 earths,2016
Kepler-1586 b,2818,2.92 earths,2016
Kepler-306 b,2587,2.92 earths,2014
Kepler-348 b,1893,2.92 earths,2014
Kepler-886 b,2796,2.92 earths,2016
HD 50499 c,151,2.93 jupiters,2019
HD 153950 b,158,2.95 jupiters,2008
Kepler-120 c,1282,2.96 earths,2014
Kepler-1356 b,2874,2.96 earths,2016
Kepler-147 b,3503,2.96 earths,2014
Kepler-1557 b,4997,2.96 earths,2016
Kepler-198 d,1639,2.96 earths,2016
Kepler-228 b,5626,2.96 earths,2014
Kepler-296 e,737,2.96 earths,2014
Kepler-54 d,893,2.96 earths,2014
Kepler-758 e,4413,2.96 earths,2016
Kepler-825 b,2675,2.96 earths,2016
Kepler-990 c,3043,2.96 earths,2016
CoRoT-6 b,2144,2.96 jupiters,2009
HD 12484 b,167,2.98 jupiters,2016
GJ 411 b,8,2.99 earths,2019
K2-226 b,689,2.99 earths,2018
K2-226 b,689,2.99 earths,2018
Kepler-1006 b,1618,2.99 earths,2016
Kepler-1228 b,1784,2.99 earths,2016
Kepler-1287 b,3350,2.99 earths,2016
Kepler-1592 b,4400,2.99 earths,2016
Kepler-274 b,4520,2.99 earths,2014
Kepler-337 b,2255,2.99 earths,2014
Kepler-895 b,1683,2.99 earths,2016
OGLE-2007-BLG-368L b,19246,20 earths,2009
GQ Lupi b,495,20 jupiters,2004
HIP 97233 b,335,20 jupiters,2014
Kepler-667 b,2959,20.1 earths,2016
Kepler-39 b,3557,20.1 jupiters,2011
HD 180314 b,401,20.13 jupiters,2010
Kepler-637 b,5138,20.2 earths,2016
Kepler-84 c,4708,20.2 earths,2012
Kepler-1000 b,3017,20.3 earths,2016
Kepler-327 c,795,20.3 earths,2014
HD 214823 b,332,20.3 jupiters,2016
Kepler-1527 b,5089,20.4 earths,2016
Kepler-502 b,4674,20.4 earths,2016
HIP 79098 AB b,477,20.5 jupiters,2019
NGTS-4 b,922,20.6 earths,2019
Tau Geminorum b,367,20.6 jupiters,2013
K2-14 b,1200,20.7 earths,2015
Kepler-1640 b,4498,20.7 earths,2016
Kepler-669 b,5800,20.8 earths,2016
Kepler-82 f,3027,20.9 earths,2019
Kepler-85 c,2551,20.9 earths,2012
2MASS J21402931+1625183 A b,82,20.95 jupiters,2009
HD 96127 b,1949,20.96 jupiters,2011
HD 219828 b,239,20.97678 earths,2007
Kepler-712 c,3079,21 earths,2016
OGLE-2015-BLG-0966L b,8155,21 earths,2016
GJ 3293 c,66,21.09 earths,2015
Kepler-858 b,966,21.1 earths,2016
K2-229 c,339,21.3 earths,2018
K2-229 c,339,21.3 earths,2018
K2-66 b,1698,21.3 earths,2016
Kepler-1321 b,1784,21.5 earths,2016
Kepler-229 c,2759,21.5 earths,2014
Kepler-245 d,2879,21.6 earths,2014
HD 217850 b,215,21.6 jupiters,2018
CoRoT-3 b,2218,21.66 jupiters,2008
Kepler-257 d,2602,21.7 earths,2014
Kepler-109 c,1570,21.8 earths,2014
HN Pegasi b,59,21.9987 jupiters,2006
Kepler-409 b,223,22 earths,2014
Kepler-448 c,1318,22 jupiters,2017
WISEP J121756.91+162640.2 A b,33,22 jupiters,2012
GJ 436 b,32,22.1 earths,2004
HD 16417 b,83,22.1 earths,2008
Kepler-56 b,3056,22.1 earths,2012
HD 125390 b,503,22.16 jupiters,2019
Nu Ophiuchi b,151,22.206 jupiters,2012
BD+20 594 b,588,22.2481 earths,2016
HAT-P-26 b,465,22.2481 earths,2010
HD 47186 b,122,22.2481 earths,2008
HD 99492 b,59,22.2481 earths,2004
TOI-132 b,537,22.4 earths,2020
Kepler-19 d,717,22.5 earths,2017
GJ 143 b,53,22.7 earths,2019
Kepler-189 c,1963,22.7 earths,2014
61 Virginis d,28,22.9 earths,2009
HIP 48714 b,34,22.9 earths,2020
Kepler-1314 b,1507,22.9 earths,2016
Kepler-818 b,3154,22.9 earths,2016
HD 10180 f,127,22.94733 earths,2010
Kepler-176 c,1746,23 earths,2014
HIP 78530 b,511,23 jupiters,2010
Kepler-30 d,3061,23.1 earths,2012
Kepler-678 b,2854,23.1 earths,2016
HD 10180 g,127,23.26516 earths,2010
MOA-2008-BLG-310L b,25117,23.4 earths,2009
HATS-38 b,1134,23.51942 earths,2020
GJ 3293 b,66,23.54 earths,2015
Kepler-215 d,1608,23.6 earths,2014
Kepler-562 b,2681,23.7 earths,2016
MXB 1658-298 b,,23.7 jupiters,2017
Kepler-495 b,2055,23.8 earths,2016
Kepler-841 b,3432,23.8 earths,2016
HD 192310 c,29,24 earths,2011
Kepler-226 b,3289,24 earths,2014
HD 203030 b,128,24.09 jupiters,2006
Kepler-231 c,1042,24.1 earths,2014
Kepler-747 b,2789,24.1 earths,2016
HD 109271 c,183,24.154 earths,2013
DMPP-1 b,202,24.27 earths,2019
Kepler-281 c,5986,24.4 earths,2014
Kepler-4 b,1794,24.472 earths,2009
K2-292 b,373,24.5 earths,2019
2MASS J01225093-2439505 b,117,24.5 jupiters,2013
Kepler-83 d,1321,24.6 earths,2014
Nu Ophiuchi c,151,24.662 jupiters,2012
HD 11964 c,110,25 earths,2008
Kepler-11 g,2148,25 earths,2010
Kepler-677 b,3849,25 earths,2016
Rho Coronae Borealis c,57,25 earths,2016
Kepler-257 c,2602,25.2 earths,2014
HD 10180 e,127,25.58532 earths,2010
Kepler-411 b,501,25.6 earths,2013
HD 179079 b,228,25.74423 earths,2008
Kepler-31 b,5701,25.9 earths,2011
Kepler-957 b,2443,25.9 earths,2016
KIC 10525077 b,4976,25.9 earths,2015
HIP 41378 e,348,26 earths,2016
Kepler-460 c,4314,26.1 earths,2016
Kepler-411 c,501,26.4 earths,2016
HAT-P-11 b,123,26.69772 earths,2008
Kepler-951 b,1331,26.7 earths,2016
V1298 Tauri c,354,26.7 earths,2019
HD 13724 b,142,26.77 jupiters,2019
TOI-1728 b,198,26.78 earths,2020
EPIC 211945201 b,596,27 earths,2018
K2-10 b,895,27 earths,2015
Kepler-827 b,4410,27 earths,2016
HD 81817 b,877,27.1 jupiters,2020
KELT-1 b,855,27.23 jupiters,2012
Kepler-1624 b,649,27.6 earths,2016
Kepler-122 e,3453,27.7 earths,2014
Kepler-516 b,2535,27.9 earths,2016
CoRoT-24 c,1957,28 earths,2014
Kepler-1520 b,2075,28.1 earths,2016
Kepler-333 b,1068,28.2 earths,2014
K2-19 b,953,28.5 earths,2015
Kepler-328 b,7680,28.5 earths,2013
DENIS-P J082303.1-491201 b,68,28.5 jupiters,2013
HD 147379 b,35,28.55 earths,2017
HD 103197 b,187,28.6047 earths,2009
K2-39 b,1012,28.6047 earths,2016
Kepler-122 c,3453,29 earths,2014
HD 134060 c,79,29.29 earths,2019
LTT 9779 b,263,29.32 earths,2020
GJ 163 d,49,29.4 earths,2013
Kepler-943 b,4042,29.5 earths,2016
Kepler-690 b,5392,29.6 earths,2016
Kepler-117 b,4665,29.875 earths,2014
Kepler-414 c,1365,29.9 earths,2014
Kepler-9 c,2003,29.9 earths,2010
Kepler-100 d,1003,3 earths,2014
Kepler-102 c,353,3 earths,2014
75 Ceti b,271,3 jupiters,2012
EPIC 246851721 b,1098,3 jupiters,2018
Kepler-93 c,314,3 jupiters,2014
PDS 70 b,370,3 jupiters,2018
Kepler-167 c,1076,3.01 earths,2014
K2-184 b,247,3.02 earths,2018
Kepler-1064 b,1220,3.02 earths,2016
Kepler-1165 b,3526,3.02 earths,2016
Kepler-1254 b,2205,3.02 earths,2016
Kepler-1282 b,3673,3.02 earths,2016
Kepler-1295 b,4100,3.02 earths,2016
Kepler-132 d,988,3.02 earths,2014
Kepler-1340 b,4635,3.02 earths,2016
Kepler-1466 b,2238,3.02 earths,2016
Kepler-195 c,2168,3.02 earths,2014
Kepler-255 b,3538,3.02 earths,2014
Kepler-364 b,2985,3.02 earths,2014
Kepler-55 e,1920,3.02 earths,2014
GJ 15 A b,12,3.03 earths,2014
HD 32518 b,400,3.04 jupiters,2009
K2-224 b,906,3.05 earths,2018
K2-224 b,906,3.05 earths,2018
Kepler-1317 b,2394,3.05 earths,2016
Kepler-1426 b,3950,3.05 earths,2016
Kepler-1433 b,4332,3.05 earths,2016
Kepler-1501 b,2897,3.05 earths,2016
Kepler-190 b,1432,3.05 earths,2014
Kepler-309 b,1805,3.05 earths,2014
Kepler-402 c,2077,3.05 earths,2014
Kepler-49 e,1024,3.05 earths,2014
Kepler-88 d,1106,3.05046 jupiters,2020
HD 67087 b,250,3.06 jupiters,2015
HD 142245 b,318,3.07 jupiters,2011
HD 68402 b,256,3.07 jupiters,2016
Kepler-1699 b,,3.08 earths,2020
Kepler-20 e,929,3.08 earths,2011
HD 73526 b,318,3.08 jupiters,2002
K2-138 b,597,3.09 earths,2017
K2-223 c,656,3.09 earths,2018
K2-223 c,656,3.09 earths,2018
K2-269 b,1181,3.09 earths,2018
Kepler-1181 b,2828,3.09 earths,2016
Kepler-207 b,2930,3.09 earths,2014
Kepler-220 c,561,3.09 earths,2014
Kepler-236 b,950,3.09 earths,2014
Kepler-249 d,624,3.09 earths,2014
Kepler-356 b,2356,3.09 earths,2014
Kepler-542 b,1432,3.09 earths,2016
Kepler-730 c,6590,3.09 earths,2018
Kepler-823 b,2923,3.09 earths,2016
Kepler-974 b,395,3.09 earths,2016
HD 221287 b,183,3.09 jupiters,2007
OGLE-2014-BLG-0676L b,7242,3.09 jupiters,2016
HD 73267 b,179,3.097 jupiters,2008
HD 125612 b,188,3.1 jupiters,2007
HD 190984 b,485,3.1 jupiters,2009
MASCARA-4 b,560,3.1 jupiters,2020
Kepler-1001 c,3291,3.11 earths,2020
K2-191 b,945,3.12 earths,2018
K2-65 b,255,3.12 earths,2016
K2-68 b,553,3.12 earths,2016
Kepler-1072 b,3184,3.12 earths,2016
Kepler-111 b,2185,3.12 earths,2014
Kepler-126 c,780,3.12 earths,2014
Kepler-1346 b,3663,3.12 earths,2016
Kepler-1523 b,2995,3.12 earths,2016
Kepler-1633 b,2645,3.12 earths,2016
Kepler-386 c,2951,3.12 earths,2014
Kepler-445 b,294,3.12 earths,2015
Kepler-784 b,1970,3.12 earths,2016
HATS-57 b,913,3.147 jupiters,2019
K2-50 b,846,3.15 earths,2016
Kepler-1131 b,3618,3.15 earths,2016
Kepler-1174 b,2704,3.15 earths,2016
Kepler-200 c,2215,3.15 earths,2014
Kepler-256 b,3449,3.15 earths,2014
Kepler-370 b,3939,3.15 earths,2014
Kepler-382 c,3134,3.15 earths,2014
Kepler-504 b,245,3.15 earths,2016
Kepler-55 d,1920,3.15 earths,2014
Kepler-55 f,1920,3.15 earths,2014
Kepler-928 b,1735,3.15 earths,2016
WASP-10 b,462,3.15 jupiters,2008
Kepler-47 c,3442,3.17 earths,2012
CoRoT-7 b,524,3.1783 earths,2009
HD 85512 b,37,3.1783 earths,2011
Kepler-37 b,209,3.1783 earths,2013
Kepler-78 b,407,3.1783 earths,2013
Kepler-93 b,314,3.1783 earths,2014
HD 18015 b,405,3.18 jupiters,2018
HD 196050 b,166,3.18 jupiters,2002
HD 220842 b,204,3.18 jupiters,2016
WASP-41 c,535,3.18 jupiters,2015
EPIC 212499991 b,932,3.19 earths,2019
Kepler-1050 b,1810,3.19 earths,2016
Kepler-1065 c,3516,3.19 earths,2016
Kepler-1069 b,1419,3.19 earths,2016
Kepler-1277 b,1977,3.19 earths,2016
Kepler-1652 b,822,3.19 earths,2017
Kepler-394 b,3561,3.19 earths,2014
Kepler-49 d,1024,3.19 earths,2014
Kepler-842 b,1801,3.19 earths,2016
Kepler-994 b,555,3.19 earths,2016
HD 37605 c,153,3.19 jupiters,2012
K2-133 c,245,3.2 earths,2017
Kepler-1702 b,2865,3.2 earths,2020
Kepler-254 c,4718,3.2 earths,2014
Kepler-407 b,1115,3.2 earths,2014
MOA-2013-BLG-605L b,,3.2 earths,2016
